kepid,kepoi_name,kepler_name,koi_period,koi_prad,koi_count
10014702,K07271.01,,1.340629010,0.82,1
9654875,K02272.01,,1.341452550,1.31,1
10905911,K02754.01,Kepler-1339 b,1.341556420,0.74,1
8429415,K02965.01,,1.352564873,1.45,1
6370120,K02811.01,,1.354770490,0.80,1
7293937,K03211.01,,1.366964704,0.79,1
11288772,K07435.01,,1.367523160,0.82,1
9162741,K00703.01,,1.368617188,1.84,1
2720514,K02979.01,,1.371288853,1.15,1
5309353,K00643.01,,1.376384817,1.47,1
5009688,K07713.01,,1.381257093,1.10,1
7879433,K02527.01,Kepler-1850 b,1.385787741,0.55,1
2450716,K06275.01,,1.386079730,0.60,1
9007866,K01407.01,,1.386635800,0.72,1
9007953,K07123.01,,1.387182090,0.68,1
11145831,K04039.01,,1.387838134,1.24,1
3973549,K05032.01,,1.389947459,3.39,1
5026326,K04280.01,,1.397725450,1.58,1
6437993,K06708.01,,1.397975420,0.49,1
9655005,K04047.01,,1.398627570,2.39,1
9520668,K01514.01,,1.399326503,1.00,1
4547603,K02855.01,,1.400755743,1.30,1
5966732,K06641.01,,1.400903699,1.16,1
2305311,K04434.01,,1.404674486,0.86,1
8940918,K04784.01,,1.405887031,0.95,1
12602314,K02853.01,,1.407020118,1.12,1
10190777,K01937.01,Kepler-1019 b,1.411230023,1.71,1
12643589,K00376.02,,1.411627439,2.99,2
8962007,K07917.01,,1.414358610,0.74,1
1718958,K04053.01,Kepler-1934 b,1.419758310,0.85,1
10972902,K04692.01,,1.428568150,0.64,2
10794509,K04673.01,,1.428596987,1.62,1
6676725,K06755.01,,1.428766771,1.01,1
9714696,K00616.01,,1.433339604,2.08,1
7918992,K02095.01,Kepler-1091 b,1.434745129,1.50,1
3458028,K02276.01,Kepler-1171 b,1.442592305,2.67,1
4374610,K04712.01,,1.444384490,1.08,1
8036287,K03984.01,Kepler-1537 b,1.444452340,2.03,1
9153823,K06195.01,,1.444486083,1.73,1
10526887,K04261.01,Kepler-1578 b,1.450889836,1.21,1
9827596,K04855.01,,1.457289970,0.93,1
10601538,K07348.01,,1.463775066,1.20,1
10876237,K02960.01,,1.465943491,1.60,1
11076276,K04645.01,,1.472585900,0.93,1
5642688,K04705.01,,1.473324500,1.03,1
11724094,K08064.01,,1.476230610,0.71,1
5195172,K01671.01,Kepler-1763 b,1.480283464,0.97,1
9692128,K02769.01,,1.480323978,1.46,1
8042644,K06957.01,,1.480628140,0.76,1
7174351,K01365.01,,1.487084251,1.60,1
9776186,K04543.01,,1.489221870,2.50,1
8149484,K04306.01,,1.489457454,1.58,1
6547322,K07786.01,,1.491317590,1.26,1
8051946,K03038.01,Kepler-1416 b,1.495151300,1.44,1
5371776,K01557.04,Kepler-304 e,1.499144441,1.09,4
4848321,K04573.01,,1.501787050,0.93,1
4848424,K02991.01,,1.501799310,0.72,1
6470917,K01690.01,,1.506019633,1.08,1
8823893,K05575.01,,1.506500360,0.81,1
8823833,K03968.01,,1.506501360,0.80,1
8890996,K07107.01,,1.506507450,1.13,1
5282656,K06551.01,,1.516372183,1.06,1
7747457,K04561.01,Kepler-1613 b,1.518418100,1.85,1
5529501,K06592.01,,1.519451820,0.50,1
10329835,K02058.01,Kepler-1075 b,1.523730730,1.26,1
5024482,K02041.01,,1.525910500,2.63,1
5024429,K07714.01,,1.525937370,1.39,1
3831523,K06361.01,,1.529283907,2.26,1
8631751,K02453.01,,1.530515205,0.84,1
7304449,K01702.01,Kepler-1650 b,1.538180949,1.00,1
5644412,K04194.01,Kepler-1565 b,1.538185321,1.29,1
3732894,K04476.01,,1.540379557,0.81,1
2830919,K04387.01,,1.540389140,0.84,1
3836522,K05012.01,,1.540393027,2.17,1
3836453,K01903.01,,1.540395781,0.94,1
3836558,K04086.01,,1.540397440,1.08,1
3836450,K05010.01,,1.540399732,0.58,1
3324986,K03084.01,,1.540411479,0.92,1
9964670,K02192.01,,1.541350116,1.50,1
2692377,K00299.01,Kepler-98 b,1.541676547,1.88,1
5428657,K06130.01,,1.542874340,1.05,1
12058147,K02072.01,Kepler-1082 b,1.543205410,1.23,1
4570931,K01343.01,,1.544927524,1.39,1
9665922,K02815.01,,1.545388842,0.56,1
8552719,K01792.02,,1.546222068,0.77,3
5113809,K06523.01,,1.547426532,3.62,1
6928906,K03242.01,,1.549454860,1.34,1
5887393,K07748.01,,1.550903740,1.11,1
11192998,K00481.02,Kepler-166 d,1.554003890,1.59,3
6289897,K05260.01,,1.559357180,1.39,1
8733898,K02842.01,Kepler-446 b,1.565412613,1.73,3
9649706,K02049.01,Kepler-1072 b,1.569066598,1.68,1
5814013,K04865.01,,1.570172490,0.82,1
10352333,K03991.01,,1.570592397,1.37,1
10591855,K02845.01,Kepler-1367 b,1.574090323,0.93,1
8773869,K00462.01,,1.576341127,2.96,1
5780715,K00506.01,,1.583160478,3.27,1
9458266,K07174.01,,1.584878980,0.37,1
9357375,K07166.01,,1.588262630,0.47,1
1433962,K00982.01,,1.592633181,1.56,1
3323887,K00377.03,Kepler-9 d,1.592959750,1.48,3
6057750,K06657.01,,1.603705800,1.54,1
7919867,K07858.01,,1.603751140,0.82,1
4770365,K01475.01,Kepler-1669 c,1.609321941,1.57,3
6685609,K00665.02,Kepler-207 b,1.611890460,1.72,3
8262210,K01073.01,,1.613001111,1.25,1
11192235,K02329.01,Kepler-1826 b,1.615357809,1.37,1
8190354,K02781.01,,1.615758517,1.31,1
9466668,K00939.03,Kepler-256 b,1.620467654,1.57,4
8822585,K07095.01,,1.627538928,1.42,1
8324518,K04393.01,,1.628882670,0.92,1
8008206,K00569.02,Kepler-185 b,1.632916419,1.13,2
7024222,K00309.01,,1.633107509,0.53,1
9468551,K02980.01,Kepler-1399 b,1.638652525,1.29,1
9892816,K01955.03,Kepler-342 e,1.644221032,1.18,4
8822421,K06188.01,,1.645319649,2.46,1
8229458,K02238.01,Kepler-1152 b,1.646801683,0.86,1
2437897,K04909.01,,1.653201440,0.74,1
8277797,K01820.02,Kepler-322 b,1.653889476,0.97,2
7385387,K06874.01,,1.655460560,0.90,1
7385509,K00675.01,,1.655467295,2.17,1
6887321,K08129.01,,1.657460340,0.54,1
8572168,K04263.01,,1.662710314,2.16,1
8111919,K02030.01,,1.664980224,3.68,1
10801249,K04611.01,,1.674956220,0.77,1
2989404,K01824.02,Kepler-323 b,1.678326300,1.57,2
10070468,K02628.01,Kepler-1297 b,1.681890510,1.27,1
10815916,K04470.01,,1.682076240,1.01,1
10388286,K00596.01,Kepler-617 b,1.682695938,1.23,1
10657406,K01837.02,Kepler-969 c,1.682934607,1.06,2
12265150,K05963.01,,1.686009643,1.81,1
8211521,K06992.01,,1.694217710,0.74,1
9202151,K01393.01,,1.694740233,2.12,1
9824928,K04650.01,,1.699991060,0.55,1
3241662,K06313.01,,1.703329150,0.86,1
3241557,K02863.01,,1.703359172,0.69,1
3241604,K02824.01,,1.703364960,1.67,1
11303815,K02645.01,,1.705782214,1.82,1
6445531,K07779.01,,1.710249310,1.20,1
6525193,K02653.01,,1.710279417,1.57,1
6525106,K04483.01,,1.710281170,0.91,1
6525209,K03479.02,,1.710294740,1.04,2
6525185,K02568.01,,1.710308030,1.32,1
6525280,K04277.01,,1.710319812,0.56,1
4730442,K07702.01,,1.710512150,1.04,1
4365442,K02787.01,,1.714410345,1.84,1
2720828,K04669.01,,1.716593040,1.17,1
7202957,K02687.01,,1.716828304,0.74,2
5096053,K04331.01,,1.717859841,1.45,1
12154526,K02004.03,,1.721100570,0.70,3
8880003,K07914.01,,1.721287520,0.65,1
5564247,K01566.01,,1.727177258,1.42,1
5201115,K04044.01,,1.728521892,1.19,1
5288577,K04010.01,,1.728530030,2.43,1
7885494,K07854.01,,1.729290140,0.86,1
7885518,K06928.01,,1.729332550,0.69,1
9946525,K00398.03,Kepler-148 b,1.729367077,1.82,3
4356621,K06405.01,,1.731795800,1.19,1
3745690,K00442.02,Kepler-157 b,1.732346403,1.37,3
8456679,K00102.01,,1.735136190,3.27,2
10128825,K07986.01,,1.739849410,0.72,1
9596064,K07197.01,,1.741450410,1.46,1
9872283,K01815.02,,1.746100570,1.24,2
10028352,K01957.02,,1.751478970,1.80,2
7755741,K06913.02,,1.751736470,3.86,2
6471230,K06720.01,,1.752450163,0.79,1
6471229,K06719.01,,1.752515850,1.02,1
4584865,K04429.01,,1.752540870,1.41,1
6891637,K01697.01,,1.752553762,1.06,1
6891366,K01696.01,,1.752564549,1.38,1
9336200,K02242.01,Kepler-1153 b,1.755843555,1.94,1
11922648,K07494.01,,1.756431850,0.58,1
11923074,K08295.01,,1.756470840,0.69,1
11872139,K04350.01,,1.756493460,1.62,1
10070479,K07282.01,,1.758599866,1.60,1
8243283,K02952.01,,1.759269100,1.21,1
4483235,K07550.01,,1.760927600,1.53,1
9221627,K07148.01,,1.761377800,2.32,1
9823519,K02793.02,Kepler-1350 c,1.766789509,1.40,2
6975129,K01628.02,Kepler-312 b,1.772451066,1.02,3
5025234,K06497.01,,1.775553330,1.26,1
11858748,K01471.01,,1.780984316,2.33,1
9761615,K03911.01,Kepler-1528 b,1.791109970,1.29,1
9109857,K02833.01,,1.791877025,1.48,1
8027902,K06955.01,,1.796218070,1.54,1
10858691,K01306.01,Kepler-286 b,1.796320953,1.20,4
4952341,K02818.01,,1.796837930,3.37,1
4147444,K03880.01,,1.803697292,1.00,1
6206470,K05252.01,,1.804550620,0.65,1
3644174,K06347.01,,1.806631432,1.05,1
5389956,K04591.01,,1.809267340,0.89,1
8963721,K02233.01,,1.811460943,2.83,1
2299738,K07628.01,,1.813437800,0.69,1
11068630,K07404.01,,1.817079849,1.39,1
9895709,K01594.01,,1.818939148,1.82,1
11757422,K07476.01,,1.819935570,0.66,1
11073656,K02206.01,,1.834277283,1.64,1
3336765,K02740.01,,1.844857057,0.97,1
7903086,K02761.01,,1.846861455,2.23,1
12784167,K03848.01,Kepler-1522 b,1.847892736,1.51,1
8227661,K02826.01,,1.853739240,0.23,1
10294509,K04143.01,,1.854473730,1.33,1
8561063,K00961.03,Kepler-42 d,1.865114193,0.66,3
