kepid,kepoi_name,kepler_name,koi_period,koi_prad,koi_count
6276477,K00849.01,Kepler-701 b,10.355331160,2.47,1
6863998,K00867.01,Kepler-709 b,16.085189370,3.68,1
6867155,K00868.01,,235.998639900,10.59,1
6948054,K00869.01,Kepler-245 b,7.490183050,2.56,4
6948054,K00869.02,Kepler-245 d,36.276123800,3.03,4
6948054,K00869.03,Kepler-245 c,17.460879310,2.32,4
6435936,K00854.01,Kepler-705 b,56.056075400,1.94,1
6522242,K00855.01,Kepler-706 b,41.408316686,11.38,1
6526710,K00856.01,,39.748930770,14.21,1
6587280,K00857.01,Kepler-243 b,5.715425977,2.47,2
9471974,K00119.01,Kepler-108 b,49.183941850,8.20,2
6587280,K00857.02,Kepler-243 c,20.026141200,2.28,2
6599919,K00858.01,,13.610148190,19.02,1
6675056,K00859.01,,10.443319910,2.66,1
6685526,K00861.01,Kepler-707 b,2.237489571,1.41,1
6756669,K00862.01,,5.851520671,14.62,1
6784235,K00863.01,Kepler-708 b,3.167893418,2.62,1
6849310,K00864.01,Kepler-244 b,4.311780262,3.11,3
6849310,K00864.02,Kepler-244 d,20.050449400,2.69,3
6849310,K00864.03,Kepler-244 c,9.767345030,2.67,3
6862328,K00865.01,,119.020704400,8.98,1
9471974,K00119.02,Kepler-108 c,190.320046800,7.78,2
6862603,K00866.01,,2.861159894,4.37,1
7366258,K00880.01,Kepler-82 b,26.444393370,3.91,4
7366258,K00880.02,Kepler-82 c,51.539979720,5.51,4
7366258,K00880.03,Kepler-82 e,5.902245782,2.43,4
7366258,K00880.04,Kepler-82 d,2.382951591,1.86,4
7373451,K00881.01,Kepler-712 b,21.022506080,3.07,2
6948054,K00869.04,Kepler-245 e,3.219814777,1.69,4
6949607,K00870.01,Kepler-28 b,5.912273234,1.73,2
6949607,K00870.02,Kepler-28 c,8.985819010,1.65,2
7031517,K00871.01,,12.940668656,22.94,1
11869052,K00120.01,,20.545237500,2.41,1
7109675,K00872.01,Kepler-46 b,33.601233710,8.46,2
7109675,K00872.02,Kepler-46 d,6.766529280,1.97,2
7118364,K00873.01,Kepler-710 b,4.347288783,2.36,1
7134976,K00874.01,Kepler-246 b,4.601811819,2.35,2
7134976,K00874.02,Kepler-246 c,11.187199050,1.55,2
7135852,K00875.01,Kepler-1729 b,4.220965778,2.62,1
7270230,K00876.01,,6.998099523,588.66,1
7287995,K00877.01,Kepler-81 b,5.954899930,2.33,3
